Country (region),Ladder,SD of Ladder,Positive affect,Negative affect,Social support,Freedom,Corruption,Generosity,"Log of GDP
per capita","Healthy life
expectancy"
Finland,1,4,41.0,10.0,2.0,5.0,4.0,47.0,22.0,27
Denmark,2,13,24.0,26.0,4.0,6.0,3.0,22.0,14.0,23
Norway,3,8,16.0,29.0,3.0,3.0,8.0,11.0,7.0,12
Iceland,4,9,3.0,3.0,1.0,7.0,45.0,3.0,15.0,13
Netherlands,5,1,12.0,25.0,15.0,19.0,12.0,7.0,12.0,18
Switzerland,6,11,44.0,21.0,13.0,11.0,7.0,16.0,8.0,4
Sweden,7,18,34.0,8.0,25.0,10.0,6.0,17.0,13.0,17
New Zealand,8,15,22.0,12.0,5.0,8.0,5.0,8.0,26.0,14
Canada,9,23,18.0,49.0,20.0,9.0,11.0,14.0,19.0,8
Austria,10,10,64.0,24.0,31.0,26.0,19.0,25.0,16.0,15
Australia,11,26,47.0,37.0,7.0,17.0,13.0,6.0,18.0,10
Costa Rica,12,62,4.0,87.0,42.0,16.0,58.0,75.0,67.0,28
Israel,13,14,104.0,69.0,38.0,93.0,74.0,24.0,31.0,11
Luxembourg,14,3,62.0,19.0,27.0,28.0,9.0,30.0,2.0,16
United Kingdom,15,16,52.0,42.0,9.0,63.0,15.0,4.0,23.0,24
Ireland,16,34,33.0,32.0,6.0,33.0,10.0,9.0,6.0,20
Germany,17,17,65.0,30.0,39.0,44.0,17.0,19.0,17.0,25
Belgium,18,7,57.0,53.0,22.0,53.0,20.0,44.0,21.0,26
United States,19,49,35.0,70.0,37.0,62.0,42.0,12.0,10.0,39
Czech Republic,20,20,74.0,22.0,24.0,58.0,121.0,117.0,32.0,31
United Arab Emirates,21,65,43.0,56.0,72.0,4.0,,15.0,4.0,60
Malta,22,42,83.0,103.0,16.0,12.0,32.0,5.0,28.0,19
Mexico,23,76,6.0,40.0,67.0,71.0,87.0,120.0,57.0,46
France,24,19,56.0,66.0,32.0,69.0,21.0,68.0,25.0,5
Taiwan,25,37,17.0,1.0,48.0,102.0,56.0,56.0,,
Chile,26,61,15.0,78.0,58.0,98.0,99.0,45.0,49.0,30
Guatemala,27,136,8.0,85.0,78.0,25.0,82.0,78.0,99.0,85
Saudi Arabia,28,93,49.0,82.0,62.0,68.0,,82.0,11.0,74
Qatar,29,86,,,,,,,1.0,43
Spain,30,21,107.0,107.0,26.0,95.0,78.0,50.0,30.0,3
Panama,31,121,7.0,48.0,41.0,32.0,104.0,88.0,51.0,33
Brazil,32,116,69.0,105.0,43.0,84.0,71.0,108.0,70.0,72
Uruguay,33,88,10.0,76.0,35.0,30.0,33.0,80.0,52.0,35
Singapore,34,5,38.0,2.0,36.0,20.0,1.0,21.0,3.0,1
El Salvador,35,112,23.0,84.0,83.0,74.0,85.0,134.0,100.0,75
Italy,36,31,99.0,123.0,23.0,132.0,128.0,48.0,29.0,7
Bahrain,37,83,39.0,83.0,59.0,24.0,,23.0,20.0,42
